,Month,RemainingTerm,DealNum,PropertyPrice,Loan,LTV,InterestRate,InterestDue,CapitalPaymentDue,Fees,CapitalPaid,OverpaymentPaid,FeePaid
0,0,215,1,170000,99000,0.582352941,0.0134,0,-518.2055769,1999,0,0,1999
1,1,214,1,170000,98592.34442,0.579954967,0.0134,110.55,-518.2055769,0,407.6555769,0,0
2,2,213,1,170000,98184.23363,0.577554315,0.0134,110.0947846,-518.2055769,0,408.1107923,0,0
3,3,212,1,170000,97775.66711,0.575150983,0.0134,109.6390609,-518.2055769,0,408.566516,0,0
4,4,211,1,170000,97366.64437,0.572744967,0.0134,109.1828283,-518.2055769,0,409.0227486,0,0
5,5,210,1,170000,96957.16488,0.570336264,0.0134,108.7260862,-518.2055769,0,409.4794907,0,0
6,6,209,1,170000,96547.22813,0.567924871,0.0134,108.2688341,-518.2055769,0,409.9367428,0,0
7,7,208,1,170000,96136.83363,0.565510786,0.0134,107.8110714,-518.2055769,0,410.3945055,0,0
8,8,207,1,170000,95725.98085,0.563094005,0.0134,107.3527976,-518.2055769,0,410.8527793,0,0
9,9,206,1,170000,95314.66928,0.560674525,0.0134,106.8940119,-518.2055769,0,411.3115649,0,0
10,10,205,1,170000,94902.89842,0.558252344,0.0134,106.434714,-518.2055769,0,411.7708629,0,0
11,11,204,1,170000,94490.66775,0.555827457,0.0134,105.9749032,-518.2055769,0,412.2306737,0,0
12,12,203,1,170000,94077.97675,0.553399863,0.0134,105.514579,-518.2055769,0,412.6909979,0,0
13,13,202,1,170000,93664.82491,0.550969558,0.0134,105.0537407,-518.2055769,0,413.1518362,0,0
14,14,201,1,170000,93251.21172,0.54853654,0.0134,104.5923878,-518.2055769,0,413.6131891,0,0
15,15,200,1,170000,92837.13667,0.546100804,0.0134,104.1305198,-518.2055769,0,414.0750571,0,0
16,16,199,1,170000,92422.59923,0.543662348,0.0134,103.6681359,-518.2055769,0,414.5374409,0,0
17,17,198,1,170000,92007.59888,0.54122117,0.0134,103.2052358,-518.2055769,0,415.0003411,0,0
18,18,197,1,170000,91592.13513,0.538777265,0.0134,102.7418188,-518.2055769,0,415.4637581,0,0
19,19,196,1,170000,91176.20743,0.536330632,0.0134,102.2778842,-518.2055769,0,415.9276927,0,0
20,20,195,1,170000,90759.81529,0.533881266,0.0134,101.8134316,-518.2055769,0,416.3921453,0,0
21,21,194,1,170000,90342.95817,0.531429166,0.0134,101.3484604,-518.2055769,0,416.8571165,0,0
22,22,193,1,170000,89925.63556,0.528974327,0.0134,100.88297,-518.2055769,0,417.3226069,0,0
23,23,192,1,170000,89507.84695,0.526516747,0.0134,100.4169597,-518.2055769,0,417.7886172,0,0
24,24,191,1,170000,89089.5918,0.524056422,0.0134,99.95042909,-518.2055769,0,418.2551478,0,0
25,25,190,1,170000,88773.96308,0.522199783,0.0474,351.9038876,-667.5326071,0,315.6287195,0,0
26,26,189,2,170000,88385.0569,0.519912099,0.0234,173.109228,-562.0154127,0,388.9061847,0,0
27,27,188,2,170000,87995.39234,0.517619955,0.0234,172.3508609,-562.0154127,0,389.6645517,0,0
28,28,187,2,170000,87604.96795,0.515323341,0.0234,171.5910151,-562.0154127,0,390.4243976,0,0
29,29,186,2,170000,87213.78222,0.513022248,0.0234,170.8296875,-562.0154127,0,391.1857252,0,0
30,30,185,2,170000,86821.83368,0.510716669,0.0234,170.0668753,-562.0154127,0,391.9485373,0,0
31,31,184,2,170000,86429.12085,0.508406593,0.0234,169.3025757,-562.0154127,0,392.712837,0,0
32,32,183,2,170000,86035.64222,0.506092013,0.0234,168.5367857,-562.0154127,0,393.478627,0,0
33,33,182,2,170000,85641.39631,0.503772919,0.0234,167.7695023,-562.0154127,0,394.2459103,0,0
34,34,181,2,170000,85246.38162,0.501449304,0.0234,167.0007228,-562.0154127,0,395.0146899,0,0
35,35,180,2,170000,84850.59665,0.499121157,0.0234,166.2304442,-562.0154127,0,395.7849685,0,0
36,36,179,2,170000,84454.0399,0.49678847,0.0234,165.4586635,-562.0154127,0,396.5567492,0,0
37,37,178,2,170000,84056.70987,0.494451235,0.0234,164.6853778,-562.0154127,0,397.3300349,0,0
38,38,177,2,170000,83658.60504,0.492109441,0.0234,163.9105842,-562.0154127,0,398.1048284,0,0
39,39,176,2,170000,83259.72391,0.489763082,0.0234,163.1342798,-562.0154127,0,398.8811328,0,0
40,40,175,2,170000,82860.06495,0.487412147,0.0234,162.3564616,-562.0154127,0,399.658951,0,0
41,41,174,2,170000,82459.62667,0.485056627,0.0234,161.5771267,-562.0154127,0,400.438286,0,0
42,42,173,2,170000,82058.40753,0.482696515,0.0234,160.796272,-562.0154127,0,401.2191407,0,0
43,43,172,2,170000,81656.40601,0.4803318,0.0234,160.0138947,-562.0154127,0,402.001518,0,0
44,44,171,2,170000,81253.62059,0.477962474,0.0234,159.2299917,-562.0154127,0,402.7854209,0,0
45,45,170,2,170000,80850.04974,0.475588528,0.0234,158.4445601,-562.0154127,0,403.5708525,0,0
46,46,169,2,170000,80445.69192,0.473209952,0.0234,157.657597,-562.0154127,0,404.3578157,0,0
47,47,168,2,170000,80040.54561,0.470826739,0.0234,156.8690992,-562.0154127,0,405.1463134,0,0
48,48,167,2,170000,79634.60926,0.468438878,0.0234,156.0790639,-562.0154127,0,405.9363487,0,0
49,49,166,2,170000,79294.18137,0.466436361,0.0474,314.5567066,-654.9845964,0,340.4278898,0,0
50,50,165,3,170000,78914.88786,0.464205223,0.0334,220.7021381,-599.9956517,0,379.2935136,0,0
51,51,164,3,170000,78534.53864,0.461967874,0.0334,219.6464379,-599.9956517,0,380.3492139,0,0
52,52,163,3,170000,78153.13079,0.459724299,0.0334,218.5877992,-599.9956517,0,381.4078525,0,0
53,53,162,3,170000,77770.66135,0.457474479,0.0334,217.526214,-599.9956517,0,382.4694377,0,0
54,54,161,3,170000,77387.12737,0.455218396,0.0334,216.4616741,-599.9956517,0,383.5339776,0,0
55,55,160,3,170000,77002.52589,0.452956035,0.0334,215.3941712,-599.9956517,0,384.6014805,0,0
56,56,159,3,170000,76616.85394,0.450687376,0.0334,214.3236971,-599.9956517,0,385.6719547,0,0
57,57,158,3,170000,76230.10853,0.448412403,0.0334,213.2502435,-599.9956517,0,386.7454083,0,0
58,58,157,3,170000,75842.28668,0.446131098,0.0334,212.1738021,-599.9956517,0,387.8218496,0,0
59,59,156,3,170000,75453.38539,0.443843443,0.0334,211.0943646,-599.9956517,0,388.9012871,0,0
60,60,155,3,170000,75063.40166,0.441549422,0.0334,210.0119227,-599.9956517,0,389.983729,0,0
